task,file,filesize,status,memory,params,cost,score,error
task384,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task384.onnx,1800,ok,3207,163,3370.0,16.877331976653593,
task315,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task315.onnx,1461,ok,3348,39,3387.0,16.87230014718223,
task032,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task032.onnx,2347,ok,3336,69,3405.0,16.86699978141639,
task381,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task381.onnx,2624,ok,3350,146,3496.0,16.840625263224574,
task099,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task099.onnx,14222,ok,0,3510,3510.0,16.836628683540088,
task139,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task139.onnx,3865,ok,3456,174,3630.0,16.803012072741105,
task316,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task316.onnx,4002,ok,3478,155,3633.0,16.802185967778797,
task262,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task262.onnx,903,ok,3744,26,3770.0,16.765169719557946,
task130,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task130.onnx,643,ok,3852,25,3877.0,16.737183062329073,
task305,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task305.onnx,1865,ok,3668,284,3952.0,16.71802294113224,
task123,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task123.onnx,9379,ok,3155,948,4103.0,16.680526307557813,
task296,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task296.onnx,2803,ok,3762,345,4107.0,16.67955188604344,
task115,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task115.onnx,3952,ok_static,4042,77,4119.0,16.67663430556392,"NotImplemented(""[ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Max(13) node with name 'safe_name_47'"")"
task291,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task291.onnx,6009,ok,3396,931,4327.0,16.627370259775116,
task048,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task048.onnx,3468,ok,4323,66,4389.0,16.613143310311766,
task160,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task160.onnx,2109,ok,4420,66,4486.0,16.591283284919847,
task323,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task323.onnx,2479,ok,3887,645,4532.0,16.5810813778521,
